Количество записей: 100

Сортировка Двухпутевыми вставками: 
Время, затраченное на сортировку: 8 милисекунд

Сортировка Быстрой сортировкой: 
Время, затраченное на сортировку: 24 милисекунд

Результат сортировки (отсортированные данные): 

[ Авиадиспетчер, 10, Виктория, Соловьёва, Еленаовна]
[ Переводчик, 14, Василиса, Кузнецова, Полинаовна]
[ Программист, 25, Екатерина, Волкова, Софияовна]
[ Программист, 25, Екатерина, Волкова, Софияовна]
[ Программист, 25, Екатерина, Волкова, Софияовна]
[ Программист, 25, Екатерина, Волкова, Софияовна]
[ Программист, 25, Екатерина, Волкова, Софияовна]
[ Системный программист, 7, Вера, Новикова, Софияовна]
[ Системный программист, 7, Вера, Новикова, Софияовна]
[ Системный программист, 7, Вера, Новикова, Софияовна]
[ Системный программист, 7, Вера, Новикова, Софияовна]
[ Системный программист, 7, Вера, Новикова, Софияовна]


