Количество записей: 200

Сортировка Двухпутевыми вставками: 
Время, затраченное на сортировку: 221 милисекунд

Сортировка Быстрой сортировкой: 
Время, затраченное на сортировку: 38 милисекунд

Результат сортировки (отсортированные данные): 

[ IT - менеджер, 3, Анастасия, Фёдорова, Надеждаовна]
[ Инженер, 3, Светлана, Воробьёва, Людмилаовна]
[ Инженер, 4, Светлана, Виноградова, Елизаветаовна]
[ Инженер, 9, Ольга, Виноградова, Алисаовна]
[ Инженер, 12, Юлия, Павлова, Нинаовна]
[ Инженер, 15, Анастасия, Иванова, Ольгаовна]
[ Исследователь, 5, Екатерина, Новикова, Викторияовна]
[ Исследователь, 8, Людмила, Соколова, Лидияовна]
[ Исследователь, 9, София, Семёнова, Нинаовна]
[ Исследователь, 10, Екатерина, Новикова, Еваовна]
[ Исследователь, 12, Анастасия, Виноградова, Нинаовна]
[ Исследователь, 14, Лидия, Морозова, Ольгаовна]
[ Исследователь, 16, Надежда, Кузнецова, Натальяовна]
[ Исследователь, 16, София, Попова, Анастасияовна]
[ Исследователь, 23, Ева, Лебедева, Василисаовна]
[ Исследователь, 25, Василиса, Павлова, Елизаветаовна]
[ Исследователь, 29, Кристина, Фёдорова, Еленаовна]
[ Исследователь, 29, Светлана, Морозова, Натальяовна]
[ Композитор, 1, Полина, Павлова, Еленаовна]
[ Композитор, 10, Любовь, Морозова, Натальяовна]
[ Композитор, 13, Василиса, Волкова, Кристинаовна]
[ Композитор, 18, Ева, Васильева, Кираовна]
[ Композитор, 21, Ева, Смирнова, Любовьовна]
[ Композитор, 27, Вера, Виноградова, Екатеринаовна]
[ Композитор, 28, Ева, Новикова, Еваовна]
[ Композитор, 29, Светлана, Петрова, Лидияовна]
[ Космонавт, 3, Вера, Виноградова, Екатеринаовна]
[ Космонавт, 10, Николай, Кузнецов, Николайович]
[ Космонавт, 17, София, Васильева, Юлияовна]
[ Космонавт, 18, Василиса, Павлова, Софияовна]
[ Космонавт, 18, Елизавета, Соловьёва, Еваовна]
[ Космонавт, 20, Елизавета, Соловьёва, Викторияовна]
[ Космонавт, 21, Лидия, Козлова, Софияовна]
[ Космонавт, 22, Лидия, Петрова, Софияовна]
[ Космонавт, 24, Наталья, Козлова, Вераовна]
[ Космонавт, 25, Елена, Соколова, Нинаовна]
[ Космонавт, 25, Нина, Семёнова, Викторияовна]
[ Космонавт, 25, София, Морозова, Иринаовна]
[ Космонавт, 28, Кира, Волкова, Людмилаовна]
[ Космонавт, 29, Ирина, Павлова, Натальяовна]
[ Микробиолог, 1, Людмила, Виноградова, Еваовна]
[ Микробиолог, 6, Виктория, Смирнова, Натальяовна]
[ Микробиолог, 13, Алиса, Новикова, Любовьовна]
[ Микробиолог, 18, Вера, Волкова, Любовьовна]
[ Микробиолог, 18, Светлана, Васильева, Кираовна]
[ Микробиолог, 21, Екатерина, Васильева, Екатеринаовна]
[ Микробиолог, 25, Нина, Козлова, Надеждаовна]
[ Микробиолог, 29, Ева, Иванова, Людмилаовна]
[ Переводчик, 8, Екатерина, Лебедева, Вераовна]
[ Переводчик, 14, Лидия, Васильева, Нинаовна]
[ Переводчик, 15, Екатерина, Богданова, Нинаовна]
[ Переводчик, 15, Екатерина, Морозова, Алисаовна]
[ Переводчик, 15, Людмила, Кузнецова, Кристинаовна]
[ Переводчик, 23, Людмила, Попова, Ангелинаовна]
[ Переводчик, 24, Ирина, Семёнова, Еваовна]
[ Переводчик, 28, Ангелина, Иванова, Анастасияовна]
[ Повар, 14, Кристина, Козлова, Еленаовна]
[ Повар, 21, Алиса, Смирнова, Любовьовна]
[ Пожарный, 4, Надежда, Васильева, Анастасияовна]
[ Пожарный, 5, Екатерина, Морозова, Иринаовна]
[ Пожарный, 6, Людмила, Петрова, Викторияовна]
[ Пожарный, 14, Алиса, Фёдорова, Ольгаовна]
[ Пожарный, 15, Алиса, Кузнецова, Александраовна]
[ Пожарный, 17, Наталья, Новикова, Еленаовна]
[ Пожарный, 18, Вера, Виноградова, Ольгаовна]
[ Пожарный, 21, Надежда, Козлова, Ангелинаовна]
[ Пожарный, 22, Ангелина, Козлова, Еваовна]
[ Пожарный, 23, Кристина, Семёнова, Любовьовна]
[ Пожарный, 25, Наталья, Соколова, Людмилаовна]
[ Пожарный, 27, Екатерина, Воробьёва, Юлияовна]
[ Программист, 3, Алиса, Виноградова, Вераовна]
[ Программист, 15, Наталья, Богданова, Лидияовна]
[ Программист, 22, Алиса, Соколова, Алисаовна]
[ Программист, 24, Ева, Семёнова, Иринаовна]
[ Продюсер, 1, Кира, Попова, Василисаовна]
[ Продюсер, 4, Светлана, Лебедева, Ольгаовна]
[ Продюсер, 5, Александра, Воробьёва, Любовьовна]
[ Продюсер, 5, Юлия, Новикова, Викторияовна]
[ Продюсер, 10, Виктория, Иванова, Светланаовна]
[ Продюсер, 18, Елизавета, Фёдорова, Еленаовна]
[ Продюсер, 18, Лидия, Волкова, Анастасияовна]
[ Продюсер, 20, Кира, Новикова, Иринаовна]
[ Продюсер, 22, Полина, Кузнецова, Александраовна]
[ Продюсер, 26, Вера, Волкова, Еленаовна]
[ Продюсер, 29, Вера, Иванова, Натальяовна]
[ Руководитель, 4, Светлана, Смирнова, Александраовна]
[ Руководитель, 8, Елена, Козлова, Василисаовна]
[ Руководитель, 13, Полина, Зайцева, Кристинаовна]
[ Руководитель, 14, Виктория, Петрова, Полинаовна]
[ Руководитель, 15, Полина, Кузнецова, Лидияовна]
[ Руководитель, 21, Елена, Волкова, Софияовна]
[ Руководитель, 22, Кристина, Петрова, Анастасияовна]
[ Системный программист, 1, Любовь, Кузнецова, Еваовна]
[ Системный программист, 2, Лидия, Павлова, Елизаветаовна]
[ Системный программист, 2, Надежда, Смирнова, Кристинаовна]
[ Системный программист, 3, Нина, Козлова, Елизаветаовна]
[ Системный программист, 5, Анастасия, Богданова, Ангелинаовна]
[ Системный программист, 11, Ангелина, Соколова, Софияовна]
[ Системный программист, 13, Светлана, Соловьёва, Анастасияовна]
[ Системный программист, 17, Кристина, Кузнецова, Кираовна]
[ Системный программист, 21, Анастасия, Козлова, Софияовна]
[ Системный программист, 24, Надежда, Воробьёва, Екатеринаовна]
[ Системный программист, 25, Светлана, Волкова, Кираовна]
[ Системный программист, 29, Нина, Фёдорова, Юлияовна]
[ Системный программист, 29, Светлана, Соколова, Викторияовна]
[ Хирург, 3, Кристина, Воробьёва, Василисаовна]
[ Хирург, 5, Анастасия, Семёнова, Юлияовна]
[ Хирург, 6, София, Павлова, Полинаовна]
[ Хирург, 7, Елизавета, Морозова, Иринаовна]
[ Хирург, 11, Ева, Смирнова, Лидияовна]
[ Хирург, 13, Ольга, Васильева, Вераовна]
[ Хирург, 14, Кира, Соколова, Кристинаовна]
[ Хирург, 25, Ева, Попова, Полинаовна]
[ Хирург, 26, Ирина, Волкова, Александраовна]


Введём новую структуру записи, содержащей поле 'индекс'
Заполним массив из 2х записей одинаковыми значениями, с разными индексами
Отсортируем 2мя разными способами и проверим, устойчива ли каждая сортировка или нет:
Выводим данные без изменений: 

[Учитель, 10, Крестникова, Ольга, Александровна], ind = 0
[Учитель, 10, Крестникова, Ольга, Александровна], ind = 1

Сортируем Двухпутевыми вставками
Выводим данные отсортированные Двухпутевыми вставками: 

[Учитель, 10, Крестникова, Ольга, Александровна], ind = 0
[Учитель, 10, Крестникова, Ольга, Александровна], ind = 1

Сортируем Быстрой сортировкой
Выводим данные отсортированные Быстрой сортировкой: 

[Учитель, 10, Крестникова, Ольга, Александровна], ind = 1
[Учитель, 10, Крестникова, Ольга, Александровна], ind = 0


